iter	Logloss
0	0.6639394904
1	0.6388215319
2	0.6132716763
3	0.5916786532
4	0.5713598261
5	0.5521128556
6	0.5338417874
7	0.5173157647
8	0.5026575722
9	0.4886834562
10	0.4762175107
11	0.4644440594
12	0.4545357481
13	0.4448381211
14	0.437207884
15	0.4303556266
16	0.4226493728
17	0.4152635012
18	0.4084674094
19	0.4021899916
20	0.3965372183
21	0.3912347351
22	0.3861205899
23	0.3821609969
24	0.3776558994
25	0.3735522322
26	0.3697142596
27	0.3659679755
28	0.3625399244
29	0.3590704431
30	0.3561098888
31	0.353981949
32	0.3508339301
33	0.3481219978
34	0.3455353969
35	0.3433776464
36	0.341128739
37	0.3392777924
38	0.3375167227
39	0.335209722
40	0.3338797939
41	0.3320183326
42	0.3307691767
43	0.3290102776
44	0.3279830131
45	0.3268005598
46	0.3257057276
47	0.3243963659
48	0.3231559841
49	0.3220997332
50	0.3211131064
51	0.3195787763
52	0.3184335183
53	0.3173569218
54	0.3161119266
55	0.3153326091
56	0.3144104137
57	0.3132536324
58	0.312720891
59	0.3119536295
60	0.3111082332
61	0.3103994253
62	0.3098411566
63	0.3091523998
64	0.3084238469
65	0.307750389
66	0.3071833443
67	0.3064495778
68	0.3055552259
69	0.3046420162
70	0.3037850886
71	0.3032770597
72	0.3023473489
73	0.3017864541
74	0.3012777085
75	0.3007547766
76	0.3001498195
77	0.299407876
78	0.2987376832
79	0.29827258
80	0.2978628771
81	0.2973715336
82	0.2965600046
83	0.2961178495
84	0.2956623147
85	0.2950774891
86	0.2946021716
87	0.294239636
88	0.2938082007
89	0.2931076928
90	0.2926025105
91	0.292082216
92	0.2915519631
93	0.290931781
94	0.2903802564
95	0.2900542302
96	0.2895846648
97	0.2888940992
98	0.288553628
99	0.2881633473
100	0.2876911583
101	0.2874449136
102	0.2869047053
103	0.2865767801
104	0.2861188476
105	0.2855144355
106	0.2849224172
107	0.2846164014
108	0.2843753259
109	0.2839373033
110	0.2835680301
111	0.2830727531
112	0.2827472877
113	0.2824598598
114	0.2819745356
115	0.2815319316
116	0.2812923847
117	0.2810351231
118	0.2806796123
119	0.2803628498
120	0.2799763347
121	0.2795955585
122	0.2792157534
123	0.2787781284
124	0.2785253717
125	0.2781104574
126	0.277754879
127	0.2773997026
128	0.2771626298
129	0.276529253
130	0.2762513318
131	0.2759565472
132	0.2755808563
133	0.2752834681
134	0.2749568111
135	0.274712457
136	0.2743174598
137	0.2738937967
138	0.2735783612
139	0.2733178709
140	0.2729961005
141	0.2726463877
142	0.2717729594
143	0.2715081064
144	0.27130781
145	0.2710944831
146	0.2707108177
147	0.2704960448
148	0.2702589746
149	0.2699183381
150	0.2696026642
151	0.2694066736
152	0.26916745
153	0.2686753533
154	0.2684098999
155	0.2680987338
156	0.2677795836
157	0.2675050328
158	0.2673669953
159	0.2671853758
160	0.2669170615
161	0.26650602
162	0.2661502718
163	0.2658401518
164	0.2655244429
165	0.2652643602
166	0.2650444259
167	0.2648424548
168	0.2644716935
169	0.264129204
170	0.2638566419
171	0.263602513
172	0.2631923145
173	0.2629146334
174	0.2627432578
175	0.2624738209
176	0.262238273
177	0.2617885895
178	0.2615416238
179	0.2613669933
180	0.2609794453
181	0.2606503023
182	0.2602994444
183	0.2600737409
184	0.2597483367
185	0.2595975053
186	0.2592668266
187	0.259013961
188	0.2587203438
189	0.2585065594
190	0.2581882671
191	0.2576799425
192	0.2573821475
193	0.2572486069
194	0.2569576433
195	0.2568080932
196	0.2563621226
197	0.2561258236
198	0.2559336216
199	0.2557721668
200	0.2555145251
201	0.255192036
202	0.254751292
203	0.2543243517
204	0.2540652521
205	0.2538791281
206	0.2535374928
207	0.2532311106
208	0.2530873013
209	0.2528616436
210	0.252628138
211	0.2524364589
212	0.2522468123
213	0.2521015239
214	0.2520060585
215	0.2517719926
216	0.2516365209
